TotalRelatorio,Codigo,Descricao_Produto,Categoria,Quantidade,Preco,Atributos,Deposito,Marca,ValorTotal,NCM,Unidade
"R$ 35.167.575,97",M1311-1,DOCE DE AMENDOIM GALVANI 90G,Mercearia,"-177,00","R$ 3,50",,Loja,GALVANI,"-R$ 619,50",20081100,UN
"R$ 35.167.575,97",M1430-1,DOCE DE BATATA DOCE,Mercearia,"-30,00","R$ 3,00",,Loja,GALVANI,"-R$ 90,00",20081100,UN
"R$ 35.167.575,97",M781-1,DOCE DE GOIABA CREMOSO 680G,Mercearia,"0,00","R$ 21,99",,Loja,BABY,"R$ 0,00",20079990,UN
"R$ 35.167.575,97",M712-1,DOCE DE LEITE 400 G,Mercearia,"-1,00","R$ 10,90",,Loja,AURORA,"-R$ 10,90",19019020,UN
"R$ 35.167.575,97",M812-1,DOCE DE LEITE 400G,Mercearia,"0,00","R$ 10,90",,Loja,AURORA,"R$ 0,00",19019020,UN
"R$ 35.167.575,97",7898358940566,DOCE DE LEITE COM AMEIXA 250G,Mercearia,"0,00","R$ 15,80",,Loja,SANTA EDWIRGES,"R$ 0,00",19019020,UN
"R$ 35.167.575,97",7898358940320,DOCE DE LEITE COM AMENOIM,Mercearia,"0,00","R$ 15,80",,Loja,SANTA EDWIRGES,"R$ 0,00",19019020,UN
"R$ 35.167.575,97",7898358940290,DOCE DE LEITE COM COCO,Mercearia,"-1,00","R$ 15,80",,Loja,SANTA EDWIRGES,"-R$ 15,80",19019020,UN
"R$ 35.167.575,97",7898358940283,DOCE DE LEITE TABLETE 250G,Mercearia,"0,00","R$ 15,80",,Loja,SANTA EDWIRGES,"R$ 0,00",19019020,UN
"R$ 35.167.575,97",7898358940306,DOCE DE LEUE COM CHOCOLATE 250G,Mercearia,"0,00","R$ 15,80",,Loja,SANTA EDWIRGENS,"R$ 0,00",19019020,UN
"R$ 35.167.575,97",7896536500342,DOCE DE PESSEGO EXTRA 830G,Mercearia,"5,00","R$ 14,50",,Loja,CATOINHO,"R$ 72,50",20081100,UN
