TextBox1,aTSV_MerchandiseCustomCodeDataTextBox,aTSV_MerchandiseDescriptionDataTextBox,aTSV_BrandDescriptionDataTextBox,aTNU_SaleQuantityDataTextBox,TextBox3
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,91992329,LAMINA INOX WILKINSON,WILKINSON,33,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000029,LAGARTO,.,"25,523",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M183-1,LA DE ACO BOMBRIL 45G,BOMBRIL,87,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7894900911510,KUAT 2L,COCA COLA,40,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M457-1,KIT FEIJOADA,.,44,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M678-1,KIT 325ML SH+COND 200ML CERAMIDAS,SKALA ,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2424-1,KINDER OVO JOY 20G,BAMBINO ,24,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1680-1,KETCHUP PICANTE HELLMANNS 380G,HELLMANNS,4,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2099-1,KETCHUP HELLMANNS SUPREME 390G,HELLMANNS,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1679-1,KETCHUP HELLMANNS 380G,HELLMANNS,3,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M901-1,JURUBEBA 600ML,LEAO DO NORTE,82,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000128,JOELHO SUINO,.,"126,384",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2460-1,JAMAVA SOBREMESA CHOCOLATE,JAMAVA,8,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1309-1,JABOTI UVA PET 2L,JABOTI,21,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1334-1,JABOTI TURBAINA PET 2L,JABOTI,14,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1336-1,JABOTI LIMAO PET 2L,JABOTI,3,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1310-1,JABOTI LARANJA PET 2L,JABOTI,18,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1308-1,JABOTI GUARANÁ PET 2L,JABOTI,14,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1666-1,JABOTI COLA 2LITROS,JABOTI,14,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1307-1,JABOTI ABACAXI PET 2L,JABOTI,16,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2071-1,ITURBAINA 350ML,ITURBAINA,3,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M846-1,ITAIPAVA MALZBIER 350ML,ITAIPAVA,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2726-1,IT LEMIN ICE 2L,Italac,7,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,070330909229,ISQUEIRO MAX,BIC,22,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1150-1,ISQUEIRO BIC PEQUENO,BIC,12,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M171-1,ISQUEIRO BIC MAXI GRANDE,BIC,20,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7898016050446,IOGUTE MORANGO 170G,JAMAVA,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7891000244265,IOGURTE NESTLE 170G,NESTLE,7,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1126-1,IOGURTE MORANGO 450G,BABY,19,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7898016050590,IOGURTE MORANGO 400G,JAMAVA,3,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7891000241448,IOGURTE FRUTAS 170G,NESTLE,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1127-1,IOGURTE COCO 450G,BABY,11,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M172-1,INSETICIDA RAID AERO 420ML,RAID,12,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1652-1,INSETICIDA MATA INSETOS AERO 360ML,.,4,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1875-1,IMPERIO PURO MALTE HELLES 330ML,IMPERIO ,6,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1552-1,IMPERIO 269ML,IMPERIO ,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7898738660220,ICE LEEV 275 ML,LEEV,7,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7898377662920,ICE CRYSTAL  CAJU L275ML,CRYSTAL,15,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7893000043213,HOT POCKET CHEDDAR E BACON 145G,SADIA,22,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1205-1,HIDRATANTE PAIXAO INSPIRADORA ROSAS 200ML,PAIXAO,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896102503708,HEINZ TOMATO KETCHUP 397G,TALISMAN,4,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2072-1,HEINEKEN ZERO 330ML,HEINEKEN,39,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M855-1,HEINEKEN UNITARIA 269ML,HEINEKEN,11,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M837-1,HEINEKEN LONG NECK 330ML,HEINEKEN,120,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1405-1,HEINEKEN LATA 350ML,HEINEKEN,203,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1549-1,HAVAIANAS SLIM AZULBRILHANTE,HAVAINAS,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M152-1,HASTES FLEX COTONETES JOHNSONS COM 75,JOHNSONS,10,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M252-1,HASTES FLEX COTONELA COM 75,HASTES ,11,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7891164020286,HAMBURGUER SABOR CHURRASCO 12 UNIDADES,AURORA,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2819-1,HAMBURGUER DE CARNE BOVINA,AURORA,4,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1905-1,HAMBURGUER DE BOVINO  175/185g,WINSTON,6,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7893000387096,HAMBURGUER BOVINO SADIA,SADIA,20,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,008080,HAMBURGUE STEAK HOUSE,STEAK HOUSE,11,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1446-1,HAMBURGUE DE FRANGO,SADIA,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M606-1,HALLS EXTRA FORTE DROPS,HALLS,33,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1026-1,H2O TRADICIONAL 500ML,H20,3,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1025-1,H20 LIMONETO 500ML,H2O,18,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M618-1,GUARDANAPOS DE PAPEL WHITEPAPER,.,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896301800073,GUARDANAPO PAPEL COQUETEL,COQUETEL ,5,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896301800028,GUARDANAPO PAPEL COQUETEL,COQUETAL.,24,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1498-1,GUARANA LEAO 450ML,COCA COLA,4,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7891991000826,GUARANA LATA 350ML,GUARANA,20,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1213-1,GUARANA ANTARTICA 2L,ANTARTICA,12,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1371-1,GUARANA ANTARTICA 200ML,ANTARTICA,7,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1770-1,GRANCONE TRUFADINHO,JUNDIAI ,19,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896292330061,GOIABADA PREDILECTA 300G,PREDILECTA,43,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7898175450514,GOIABADA CASCÃO 500G,FRANCESCHINI ,3,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7500435219334,GILLETTE MACH 3 CARBONO,GILLETTE,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7500435141536,GILLETTE MACH 3,GILLETTE,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000333,GELO,GELO DRINK,77,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896005210741,GELATINA SOL 20G MORANGO,SOL,20,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896072050035,GELATINA SEM SABOR 24G,BRETZKE ,6,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896327511472,GELATINA SEM SABOR,Apti,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M851-1,GELATINA NEILAR MARACUJA 20G,NEILAR,7,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M843-1,GELATINA NEILAR LIMAO 20G,NEILAR,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M847-1,GELATINA NEILAR ABACAXI 20G,NEILAR,23,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2430-1,GELATINA APTI 20G LIMAO,Apti,13,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M660-1,GELATINA 24G S/SABOR INCOLOR,NEILAR,10,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7898937892231,GEL SANITARIO,APLIK ,4,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M773-1,GEL FIXADOR 240G MEGAFORTE,NY.LOOKS,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M734-1,GEL FIXADOR 240G FIXACAO MEDIA,NY.LOOKS,7,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2827-1,GATORADE ZERO FRUSTAS SILV,GATORADE,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M909-1,GATORADE UVA 500ML,.,11,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M911-1,GATORADE MORANGO E MARACUJA 500ML,.,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M907-1,GATORADE LIMAO 500ML,.,13,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M912-1,GATORADE LARANJA 500ML,.,15,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1187-1,GATORADE BERRYBLUE 500ML,GATORADE,17,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2593-1,GATORADE BERRY BLUE  500ML,GATORADE,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1763-1,GATORADE  TANGERINA,GATORADE,4,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,001048,gas,.,8,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M626-1,GARFO SOBREMESA 50 UNIDADES,.,3,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896052607167,FYS REFRIGERANTE LIMAO SICILIANO,CHAMYTO,11,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7897200607855,FUT CHICKEN 1KG,CANÇÃO,10,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1891-1,FUMO ARAPIRACA CATOINHO,CATOINHO,14,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M133-1,FUBA MILHO MIMOSO SINHA 500G,SINHA,51,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1837-1,FRANGO RESFRIADO,Holambra,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000103,FRANGO INTEIRO,.,"515,414",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000102,FRANGO A PASSARINHO TEMPERADO,.,"374,801",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000101,FRANGO A PASSARINHO,.,"6,83",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000028,FRALDINHA,.,"452,365",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2226-1,FRALDA POMPOM D.PROTEK JUMBO G C/24 FD,POMPOM,3,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2339-1,FRALDA,JA,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M148-1,FOSFORO PARANA,PARANA,9,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1375-1,FOLHA DE PAPEL ALUMINIO,PARANA,63,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M132-1,FLOCAO DE MILHO SINHA 500G,SINHA,79,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7898932426042,FLOCAO DE MILHO 500G,MARATA,6,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1325-1,FIO DENTAL KLINDENT 100M,KLINDENT,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M147-1,FILTRO PAPEL MELITA 103,MELITA,26,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2086-1,FILTRO PAPEL MELITA 102 C/30 PC-6UN QTD. 1.00 PC,SEDA,7,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M959-1,FILTRO DE PAPEL 103 CAICARA,CAIÇARA,23,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896300501100,FILME PARA CHURRASCO PRATSY,PRASTY ,12,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1808-1,"FILME P/CHURR WYDA 5,0X45CM ROLO",WYDA,3,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M64-1,FILEZINHO DE FRANGO EMPANADO CONGELADO,CT,"4,04",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2412-1,FILEZINHO DE FRANGO EMPANADO 1KG,BAITA,9,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000100,FILE SOBRECOXA,.,"54,604",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000027,FILE MIGNON,.,"9,934",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000099,FILE EMPANADO,.,"159,456",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,009999,FILE DE TILAPIA SEM PELE,.,"3,078",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M935-1,FILE DE TILAPIA AURORA,AURORA,10,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M968-1,FILE DE TILAPIA  AURORA 800G,AURORA,3,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000160,FILE DE MERLUZA,.,"13,67",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000098,FILE DE FRANGO TEMPERADO,.,"219,778",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000097,FILE DE FRANGO,.,"584,87",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1352-1,FILE DE COXA SOBRECOXA,ALLIZ,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000096,FILE COXA TEMPERADO,.,"150,767",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000095,FIGADO DE FRANGO,.,"28,236",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000025,FIGADO BOVINO,.,"241,392",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1428-1,FIGADO BANDEIJA,COPACOL,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1494-1,FERRASPARI GUARANA COM PESSEGO 2L,LEPZ,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M130-1,FERMENTO PO FERMIX DONA BENTA 10G,DONA BENTA,56,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M129-1,FERMENTO PO DONA BENTA 100G,DONA BENTA,10,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M731-1,FEIJOADA ENLATADA PRONTA 830G,BORDON,9,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2558-1,FEIJAO SOLITO PREMIUM,SOLITO,17,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7898497680354,FEIJAO SELECTA 1 KG,TEMPERABEM,10,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2714-1,FEIJAO PRETO NENE 1KG,NENE,5,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896454100037,FEIJAO PRETO JOLI 500G,JOLI ,26,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M725-1,FEIJAO PRETO 1KG,SOLITO,6,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1697-1,FEIJAO PRETO 1 KG,CAMIL,15,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2146-1,FEIJAO NENE 1 KG,NENE,4,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1302-1,FEIJAO NAMORADO 1KG,NAMORADO,32,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2530-1,FEIJAO MAXIMO 1KG,MAXIMO ,21,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896062602008,FEIJAO CARIOCA SOLITO,SOLITO,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7898053200040,FEIJÃO CARIOCA 1KG MARAVILHA,MARAVILHA ,20,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896006744115,FEIJÃO CARIOCA 1KG,CAMILA,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2138-1,FEIJAO CALDO NOBRE 1KG,CALDO ,40,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1481-1,FEIJAO BRANCO 1KG,GALILEU,12,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2664-1,FAZENDO ARTE 80G,FINI,13,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7898036493063,"FASCINO TRUFATINE 1,5",MEZZANI,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2237-1,FASCINO TRUFADINHO 1.5,JUNDIA,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7898036493056,"FASCINO TRUFADINHO 1,5L",JUNDIAI ,4,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7898036493100,"FASCINO TRUFADINGO BIANCO 1,5 L",JUNDIA,3,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7898036494374,"FASCINO PIPOCA CARAMELIZADA 1,5L",JUNDIA,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7898036490277,FASCINO NATA COM CHOCOLATE 190G,JUNDIAI ,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7898036493117,"FASCINO IOGURTE 1,5L",JUNDIA,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7898036493070,"FASCINO CHOCOLATE COM AVELÃ 1,5L",JUNDIA,3,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2156-1,FASCINO CHOC/AVELA 1.5,JUNDIA,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M952-1,FAROFA YOKI CASEIRA 200G MANDIOCA COM COSTELINHA,YOKI,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896117600584,FAROFA TEMPERADA  CASEIRA TRADICIONAL 350G,DEUSA,4,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1739-1,FAROFA PRONTA 400G,KISABOR,77,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M986-1,FAROFA DE MANDIOCA SABOR TRADICIONAL 400G,DEUSA,13,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2208-1,FAROFA DE MANDIOCA SABOR BACON400G,DEUSA,7,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1331-1,FAROFA DE MANDIOCA MONJOLINHO 250G,MONJOLINHO,16,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2534-1,FAROFA CASEIRA PICANTE 350G,CONDINEW,5,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2536-1,FAROFA CASEIRA PEQUI 350G,CONDIN,8,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2535-1,FAROFA CASEIRA COSTELA 350G,CONDINEW,12,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M226-1,FARINHA TRIGO RENATA 1KG,RENATA,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2314-1,FARINHA TRIGO NITA 1KG PURISSIMA,NITA,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1530-1,FARINHA TRIGO NITA 1KG,NITA,10,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M185-1,FARINHA TRIGO NITA 1KG,NITA,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M27-1,FARINHA TRIGO DONA BENTA 1KG,BENTA,36,Todos
