TextBox1,aTSV_MerchandiseCustomCodeDataTextBox,aTSV_MerchandiseDescriptionDataTextBox,aTSV_BrandDescriptionDataTextBox,aTNU_SaleQuantityDataTextBox,TextBox3
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M231-1,TORRADA BAUDUCCO 142G TRADICIONAL,BAUDUCO,39,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2353-1,TORCIDA SABOR CHURRASCO 60G,TORCIDA ,75,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2739-1,TORCIDA QUEIJO 60G,TORCIDA ,3,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2738-1,TORCIDA CHURRASCO 60GX24,TORICA ,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2740-1,TORCIDA CEBOLA 60GX24,TORCIDA ,8,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2741-1,TORCIDA BACON 60GX24,TORCIDA ,9,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2560-1,TONICA ANTARTICA ZERO 1L,ANTARTICA,4,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2559-1,TONICA ANTARTICA 1L,TONICA,5,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000161,TOMATE,.,"607,19",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2674-1,toddynho levinho 200ml,Toddynho,12,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M741-1,TOALHAS UMEDECIDAS 100UND,UPA BEBE,13,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1845-1,TNT MANGO SUMMER 473ML,TNT,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2450-1,"TIRA MANCHAS CANDURA 1,5L WHITE S CLORO",CANDURA,5,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2449-1,"TIRA MANCHAS CANDURA 1,5L",CANDURA,7,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2667-1,TERROR MORANGO E LIMAO ACIDO 80G,FINI,7,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M16-1,TEMPERO SAZON 60G VERMELHO,Sazon,165,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M211-1,TEMPERO SAZON 60G VERDE,Sazon,24,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M213-1,TEMPERO SAZON 60G SALADA,Sazon,16,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M26-1,TEMPERO SAZON 60G BRANCO,Sazon,8,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1186-1,TEMPERO SAZON 60G,Sazon,13,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M557-1,TEMPERO PIMENTA DO REINO,.,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,18481025,TEMPERO PARA FEIJAO 500G,.,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M558-1,TEMPERO ERVAS FINAS E ACAFRAO,.,3,Todos
